Latitudine,Longitudine,Categorie
45.2328836,27.8409322,fortificatie
45.239487,28.1276054,castru
45.2424535,28.4767518,tumul
45.2438747,28.4199928,tumul
45.2484769,28.2823093,tumul
45.2602037,28.5015609,fortificatie
45.2626462,28.3910708,anomalie necunoscuta
45.2648447,28.4803094,tumul
45.2693468,28.1453404,tumul
45.2702883,28.4924364,castru
45.2726994,28.428516,val
45.2729746,28.128478,tumul
45.2779254,28.2958532,tumul
45.27854,28.11253,tumul
45.2800098,28.3290262,tumul
45.2880194,27.8400535,fortificatie
45.2938862,28.1983924,tumul
45.2940335,28.2459019,tumul
45.3005988,28.2512725,tumul
45.3022486,28.2525226,tumul
45.30477,28.19058,tumul
45.3125378,28.2712944,castru
45.3170999,27.9086829,fortificatie
45.3176059,27.8718942,tumul
45.32834,28.17731,tumul
45.3317531,27.8272833,tumul
45.3462364,27.793067,fortificatie
45.3701898,28.1517709,anomalie necunoscuta
45.3788888,28.1388031,castru
45.4048841,27.9894481,castru
45.4132502,28.1062261,locuinta
45.4196,27.87865,anomalie necunoscuta
45.42534,27.87754,fortificatie
45.43543,27.85328,tumul
45.4358037,27.9252871,fortificatie
45.4370478,27.9362242,fortificatie
45.4420264,27.952714,fortificatie
45.44539,27.93223,tumul
45.4512803,23.3140766,fortificatie
45.45462,27.924679,fortificatie
45.4569968,27.8454163,tumul
45.457754,27.9665905,tumul
45.458564,27.8241467,locuinta
45.466412,27.9845523,fortificatie
45.4683433,27.9709343,tumul
45.4732162,27.9666525,tumul
45.4736921,27.9784114,fortificatie
45.473802,23.1335985,fortificatie
45.4856902,22.9452638,val
45.4928817,22.8015377,fortificatie
45.4996163,22.8107196,fortificatie
45.5000537,22.8022816,locuinta
45.5077732,27.8398848,locuinta
45.5079074,27.9803882,tumul
45.5098991,22.5552285,val
45.5100773,22.9553289,fortificatie
45.5146419,22.7865302,locuinta
45.5162218,23.0080675,fortificatie
45.5282121,27.9409577,val
45.5376572,27.9765203,fortificatie
45.5399269,27.9655779,val
45.5429972,22.8066333,fortificatie
45.5432637,23.0161579,fortificatie
45.5515876,22.9800611,val
45.5561765,22.9832843,val
45.5596526,28.0057849,val
45.5759271,22.7979508,fortificatie
45.5927066,22.9781745,locuinta
45.5934974,22.9855349,anomalie necunoscuta
45.600135,28.0004118,fortificatie
45.6010691,22.7479709,val
45.6093174,22.9981869,fortificatie
45.6210094,28.0200154,fortificatie
45.6222985,23.3104259,anomalie necunoscuta
45.6270059,28.0159717,tumul
45.662873,23.0085959,fortificatie
45.6673094,23.1630919,fortificatie
45.6795448,23.1543436,fortificatie
45.6804575,23.0314933,fortificatie
45.7148987,23.0608361,fortificatie
45.7156738,23.0555244,fortificatie
45.7161979,22.9888628,locuinta
45.7186644,23.0431697,fortificatie
45.7313565,22.89688,anomalie necunoscuta
